canonical_athlete_id,name,sex,primary_weight_class,active_year_first,active_year_last,total_matches
athlete_tero-pyylampi-m,Tero Pyylampi,M,77KG,2013,2017,2
athlete_thomas-deblass-m,Thomas DeBlass,M,+99KG,2009,2017,2
athlete_y-ozawa-m,Y. Ozawa,M,99KG,2017,2017,2
athlete_abdulkadirov-magomed-m,Abdulkadirov Magomed,M,77KG,2015,2015,2
athlete_abraham-marte-messina-m,Abraham Marte Messina,M,+99KG,2015,2015,2
athlete_ben-henderson-m,Ben Henderson,M,77KG,2013,2015,2
athlete_cassio-francis-m,Cassio Francis,M,99KG,2015,2015,2
athlete_edward-cummings-m,Edward Cummings,M,66KG,2015,2015,2
athlete_gabriel-lucas-m,Gabriel Lucas,M,+99KG,2015,2015,2
athlete_gabriel-rollo-m,Gabriel Rollo,M,77KG,2015,2015,2
athlete_jimmy-friedrich-m,Jimmy Friedrich,M,+99KG,2013,2015,2
athlete_ricardo-mesquita-m,Ricardo Mesquita,M,88KG,2015,2015,2
athlete_tomasz-narkun-m,Tomasz Narkun,M,99KG,2013,2015,2
athlete_clark-gracie-m,Clark Gracie,M,77KG,2011,2013,2
athlete_lucas-leite-m,Lucas Leite,M,88KG,2013,2013,2
athlete_marcio-andre-barbosa-junior-m,Marcio Andre Barbosa Junior,M,66KG,2013,2013,2
athlete_ricardo-vieira-m,Ricardo Vieira,M,66KG,2013,2013,2
athlete_tetsu-suzuki-m,Tetsu Suzuki,M,66KG,2007,2013,2
athlete_antonio-peinado-m,Antonio Peinado,M,99KG,2011,2011,2
athlete_don-ortega-m,Don Ortega,M,77KG,2009,2011,2
athlete_hanette-staack-f,Hanette Staack,F,+60KG,2011,2011,2
athlete_igor-praporschchikov-m,Igor Praporschchikov,M,88KG,2009,2011,2
athlete_kyle-griffin-m,Kyle Griffin,M,88KG,2011,2011,2
athlete_radoslaw-turek-m,Radoslaw Turek,M,99KG,2009,2011,2
athlete_timojuhani-m,Timo-Juhani,M,66KG,2009,2011,2
athlete_chris-weidman-m,Chris Weidman,M,88KG,2009,2009,2
athlete_denis-roberts-m,Denis Roberts,M,+99KG,2005,2009,2
athlete_darren-andy-m,Darren Andy,M,+99KG,2007,2007,2
athlete_flavio-almeida-m,Flavio Almeida,M,88KG,2007,2007,2
athlete_rolles-gracie-m,Rolles Gracie,M,+99KG,2007,2007,2
athlete_t-suzuki-m,T. Suzuki,M,66KG,2005,2007,2
athlete_antoine-joude-m,Antoine Joude,M,99KG,2005,2005,2
athlete_daniel-simoes-m,Daniel Simoes,M,+99KG,2005,2005,2
athlete_diego-sanchez-m,Diego Sanchez,M,77KG,2005,2005,2
athlete_marcio-corleta-m,Marcio Corleta,M,+99KG,2005,2005,2
athlete_shinya-aoki-m,Shinya Aoki,M,77KG,2005,2005,2
athlete_chris-brown-m,Chris Brown,M,77KG,2001,2003,2
athlete_gustavo-dantas-m,Gustavo Dantas,M,66KG,2001,2003,2
athlete_ilir-lafiti-m,Ilir Lafiti,M,99KG,2003,2003,2
athlete_matt-lindland-m,Matt Lindland,M,88KG,2003,2003,2
athlete_mike-van-m,Mike Van,M,+99KG,2003,2003,2
athlete_akihiro-gono-m,Akihiro Gono,M,88KG,1999,2001,2
athlete_roger-neff-m,Roger Neff,M,+99KG,2001,2001,2
athlete_sanae-kikuta-m,Sanae Kikuta,M,88KG,1999,2001,2
athlete_travis-lutter-m,Travis Lutter,M,88KG,2000,2001,2
athlete_vitor-belfort-m,Vitor Belfort,M,ABS,2001,2001,2
athlete_caol-uno-m,Caol Uno,M,77KG,1999,2000,2
athlete_jerry-bolander-m,Jerry Bolander,M,88KG,1999,2000,2
athlete_ricardo-moraes-m,Ricardo Moraes,M,+99KG,1998,2000,2
athlete_sasha-savko-m,Sasha Savko,M,88KG,1999,2000,2
athlete_tito-ortiz-m,Tito Ortiz,M,99KG,2000,2000,2
athlete_amaury-bitetti-m,Amaury Bitetti,M,88KG,1999,1999,2
athlete_sasha-palvski-m,Sasha Palvski,M,66KG,1999,1999,2
athlete_adele-fornarino-f,Adele Fornarino,F,60KG,2022,2022,1
athlete_alexandre-jesus-m,Alexandre Jesus,M,88KG,2022,2022,1
athlete_ashley-williams-m,Ashley Williams,M,66KG,2022,2022,1
athlete_cole-abate-m,Cole Abate,M,66KG,2022,2022,1
athlete_damon-ramos-m,Damon Ramos,M,+99KG,2022,2022,1
athlete_dan-manasoiu-m,Dan Manasoiu,M,+99KG,2022,2022,1
athlete_devhonte-johnson-m,Devhonte Johnson,M,99KG,2022,2022,1
athlete_eleftheria-christodoulou-f,Eleftheria Christodoulou,F,+60KG,2022,2022,1
athlete_elisabeth-clay-f,Elisabeth Clay,F,+60KG,2022,2022,1
athlete_giovanna-jara-f,Giovanna Jara,F,+60KG,2022,2022,1
athlete_heikki-jussila-m,Heikki Jussila,M,+99KG,2022,2022,1
athlete_henrique-cardoso-m,Henrique Cardoso,M,99KG,2022,2022,1
athlete_isaak-michel-m,Isaak Michel,M,88KG,2022,2022,1
athlete_isaque-bahiense-m,Isaque Bahiense,M,88KG,2022,2022,1
athlete_jacob-rodriguez-m,Jacob Rodriguez,M,88KG,2022,2022,1
athlete_joao-costa-m,Joao Costa,M,99KG,2022,2022,1
athlete_josh-saunders-m,Josh Saunders,M,+99KG,2022,2022,1
athlete_julia-maele-f,Julia Maele,F,60KG,2022,2022,1
athlete_keita-iwamoto-m,Keita Iwamoto,M,77KG,2022,2022,1
athlete_luke-griffith-m,Luke Griffith,M,99KG,2022,2022,1
athlete_m-szczecinski-m,M. Szczecinski,M,77KG,2022,2022,1
athlete_magid-hage-m,Magid Hage,M,77KG,2022,2022,1
athlete_mateusz-szczecinski-m,Mateusz Szczecinski,M,77KG,2022,2022,1
athlete_mayssa-bastos-f,Mayssa Bastos,F,60KG,2022,2022,1
athlete_owen-livesey-m,Owen Livesey,M,99KG,2022,2022,1
athlete_perttu-terpponnen-m,Perttu Terpponnen,M,99KG,2022,2022,1
athlete_rodrigo-dib-m,Rodrigo Dib,M,88KG,2022,2022,1
athlete_ruan-alvarenga-m,Ruan Alvarenga,M,66KG,2022,2022,1
athlete_santeri-lilius-m,Santeri Lilius,M,88KG,2022,2022,1
athlete_tommy-langaker-m,Tommy Langaker,M,77KG,2022,2022,1
athlete_william-tackett-m,William Tackett,M,77KG,2022,2022,1
athlete_alec-baulding-m,Alec Baulding,M,88KG,2019,2019,1
athlete_amanda-leve-f,Amanda Leve,F,+60KG,2019,2019,1
athlete_ana-carolina-f,Ana Carolina,F,+60KG,2019,2019,1
athlete_ana-carolina-vieira-f,Ana Carolina Vieira,F,+60KG,2019,2019,1
athlete_ben-dyson-m,Ben Dyson,M,88KG,2019,2019,1
athlete_ben-hodgkinson-m,Ben Hodgkinson,M,99KG,2019,2019,1
athlete_carina-santi-f,Carina Santi,F,+60KG,2019,2019,1
athlete_dan-martinez-m,Dan Martinez,M,99KG,2019,2019,1
athlete_eldar-rafigaev-m,Eldar Rafigaev,M,+99KG,2019,2019,1
athlete_elliot-marshal-m,Elliot Marshal,M,+99KG,2019,2019,1
athlete_fellipe-andrew-m,Fellipe Andrew,M,99KG,2019,2019,1
athlete_gabriel-almeida-m,Gabriel Almeida,M,88KG,2019,2019,1
athlete_hudson-taylor-m,Hudson Taylor,M,+99KG,2019,2019,1
athlete_john-combs-m,John Combs,M,77KG,2019,2019,1
athlete_jon-hansen-m,Jon Hansen,M,ABS,2019,2019,1
athlete_jonathan-satava-m,Jonathan Satava,M,77KG,2019,2019,1
athlete_keller-sodhi-m,Keller Sodhi,M,88KG,2019,2019,1
athlete_kenta-iwamoto-m,Kenta Iwamoto,M,66KG,2019,2019,1
athlete_livia-giles-f,Livia Giles,F,60KG,2019,2019,1
athlete_mateusz-garmot-m,Mateusz Garmot,M,77KG,2019,2019,1
athlete_mateusz-juskowiak-m,Mateusz Juskowiak,M,+99KG,2019,2019,1
athlete_mraz-avdoyan-m,Mraz Avdoyan,M,99KG,2019,2019,1
athlete_paulo-pinto-m,Paulo Pinto,M,99KG,2019,2019,1
athlete_perttu-tepponen-m,Perttu Tepponen,M,99KG,2019,2019,1
athlete_r-alvarenga-m,R. Alvarenga,M,66KG,2019,2019,1
athlete_rikako-yuasa-f,Rikako Yuasa,F,60KG,2019,2019,1
athlete_ross-nicholls-m,Ross Nicholls,M,77KG,2019,2019,1
athlete_servio-tulio-m,Servio Tulio,M,77KG,2019,2019,1
athlete_shane-hilltaylor-m,Shane Hill-Taylor,M,66KG,2019,2019,1
athlete_stefanie-egger-f,Stefanie Egger,F,+60KG,2019,2019,1
athlete_thomas-halpin-m,Thomas Halpin,M,66KG,2019,2019,1
athlete_valdir-araujo-junior-m,Valdir Araujo Junior,M,88KG,2019,2019,1
athlete_abdulaev-ruslan-m,Abdulaev Ruslan,M,+99KG,2017,2017,1
athlete_bianca-mesquita-f,Bianca Mesquita,F,60KG,2017,2017,1
athlete_e-elgland-m,E. Elgland,M,66KG,2017,2017,1
athlete_felipe-cesar-m,Felipe Cesar,M,77KG,2017,2017,1
athlete_h-sekine-m,H. Sekine,M,+99KG,2017,2017,1
athlete_janus-andrejczuk-m,Janus Andrejczuk,M,66KG,2017,2017,1
athlete_jesse-urholin-m,Jesse Urholin,M,88KG,2017,2017,1
athlete_jesseray-childrey-m,Jesseray Childrey,M,+99KG,2017,2017,1
athlete_jessica-flowers-f,Jessica Flowers,F,+60KG,2017,2017,1
athlete_john-salter-m,John Salter,M,88KG,2017,2017,1
athlete_kamil-wilk-m,Kamil Wilk,M,66KG,2017,2017,1
athlete_khazmat-stambulov-m,Khazmat Stambulov,M,+99KG,2017,2017,1
athlete_kit-dale-m,Kit Dale,M,88KG,2017,2017,1
athlete_leandro-lo-m,Leandro Lo,M,88KG,2017,2017,1
athlete_leonardo-saggioro-m,Leonardo Saggioro,M,77KG,2017,2017,1
athlete_nicollas-renier-m,Nicollas Renier,M,66KG,2017,2017,1
athlete_osman-kasimov-m,Osman Kasimov,M,77KG,2017,2017,1
athlete_piotr-frechowicz-m,Piotr Frechowicz,M,88KG,2017,2017,1
athlete_roman-dolidze-m,Roman Dolidze,M,99KG,2017,2017,1
athlete_ruslam-chsiev-m,Ruslam Chsiev,M,88KG,2017,2017,1
athlete_sergio-ardilaibarra-m,Sergio Ardila-Ibarra,M,77KG,2017,2017,1
athlete_t-pyylampi-m,T. Pyylampi,M,ABS,2017,2017,1
athlete_talita-alencar-f,Talita Alencar,F,60KG,2017,2017,1
athlete_talita-treta-f,Talita Treta,F,+60KG,2017,2017,1
athlete_u-zhakshylyk-m,U. Zhakshylyk,M,66KG,2017,2017,1
athlete_yuta-shimada-m,Yuta Shimada,M,66KG,2017,2017,1
