canonical_athlete_id,name,sex,primary_weight_class,active_year_first,active_year_last,total_matches
athlete_yoshitomi-mishima-m,Yoshitomi Mishima,M,66KG,2007,2007,1
athlete_yoshiyuki-yoshida-m,Yoshiyuki Yoshida,M,77KG,2009,2009,1
athlete_youngahm-m,Young-Ahm,M,77KG,2015,2015,1
athlete_youngnam-noh-m,Youngnam Noh,M,77KG,2013,2013,1
athlete_yousef-elzien-m,Yousef Elzien,M,+99KG,1998,1998,1
athlete_yuji-arai-m,Yuji Arai,M,88KG,2009,2009,1
athlete_yuki-ozawa-m,Yuki Ozawa,M,99KG,2003,2003,1
athlete_yuki-sasaki-m,Yuki Sasaki,M,88KG,2003,2003,1
athlete_yukissyu-ozawa-m,Yukissyu Ozawa,M,99KG,2007,2007,1
athlete_yukiyasu-ozawa-m,Yukiyasu Ozawa,M,99KG,2015,2015,1
athlete_yuri-simoes-m,Yuri Simoes,M,ABS,2015,2022,19
athlete_yurika-nakakura-f,Yurika Nakakura,F,+60KG,2013,2013,1
athlete_yushin-okami-m,Yushin Okami,M,88KG,2007,2007,1
athlete_yuta-sasaki-m,Yuta Sasaki,M,66KG,2013,2013,1
athlete_yuta-shimada-m,Yuta Shimada,M,66KG,2017,2017,1
athlete_zbigniew-tyszka-m,Zbigniew Tyszka,M,88KG,2011,2015,3
